"anime_title","anime_premiere","anime_release","anime_nextair","anime_badge"
"100 Sleeping Princes & the Kingdom of Dreams","7/5/2018 12:00:00 AM","7/5/2018 12:00:00 AM","","Exclusive"
"A Little Snow Fairy Sugar","10/2/2001 12:00:00 AM","10/2/2001 12:00:00 AM","","Dubbed"
"Action Heroine Cheer Fruits","7/6/2017 12:00:00 AM","7/6/2017 5:00:00 PM","",NA
"After the Rain","1/12/2018 12:00:00 AM","3/31/2021 1:00:00 PM","","Dubbed"
"Ahiru no Sora","10/2/2019 12:00:00 AM","9/30/2019 5:00:00 PM","","Dubbed"
"Akame ga Kill!","7/6/2014 12:00:00 AM","7/6/2014 12:00:00 PM","","Dubbed"
"AKB48 Ne-Mouse TV Season 3","10/9/2009 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Akikan!","1/3/2009 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Amagami SS","7/1/2010 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Amagami SS+ Plus","1/5/2012 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"And Yet the Town Moves","10/8/2010 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Angelic Layer","4/1/2001 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Anonymous Noise","4/11/2017 12:00:00 AM","4/1/2017 12:00:00 AM","","Dubbed"
"Ao-chan Can't Study!","4/5/2019 12:00:00 AM","4/1/2019 5:00:00 PM","","Dubbed"
"Aoharu x Machinegun","7/3/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Armed Girl's Machiavellism","4/5/2017 12:00:00 AM","4/1/2017 12:00:00 AM","","Dubbed"
"Armored Trooper VOTOMS","4/1/1983 12:00:00 AM","7/23/2018 5:00:00 AM","","Exclusive"
"ASSASSINS PRIDE","10/10/2019 12:00:00 AM","10/3/2019 5:00:00 PM","","Dubbed"
"Asura Cryin'","4/2/2009 12:00:00 AM","8/6/2019 5:00:00 PM","",NA
"Asura Cryin' 2","10/1/2009 12:00:00 AM","8/6/2019 5:00:00 PM","",NA
"Atom: The Beginning","4/15/2017 12:00:00 AM","4/1/2017 12:00:00 AM","",NA
"Aura Battler Dunbine","2/5/1983 12:00:00 AM","4/13/2018 10:00:00 PM","","Dubbed"
"Azumanga Daioh","4/8/2002 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Bakuon!!","4/5/2016 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"BanG Dream!","1/21/2017 12:00:00 AM","1/21/2017 2:00:00 PM","",NA
"BanG Dream! 3rd Season","1/7/2020 12:00:00 AM","1/6/2020 6:00:00 PM","",NA
"BanG Dream! S2","1/3/2019 12:00:00 AM","1/2/2019 2:00:00 PM","","Dubbed"
"Basquash!","4/2/2009 12:00:00 AM","7/15/2019 5:00:00 PM","",NA
"Battle Girl High School","7/2/2017 12:00:00 AM","6/30/2017 5:00:00 PM","","Exclusive"
"Battle Girls: Time Paradox","4/5/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Beautiful Bones -Sakurako's Investigation-","10/8/2015 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Bermuda Triangle ~ Colorful Pastorale","1/12/2019 12:00:00 AM","1/12/2019 2:00:00 PM","","Exclusive"
"Between the Sky and Sea","10/3/2018 12:00:00 AM","11/15/2018 6:00:00 PM","",NA
"Beyond the Boundary","10/2/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"The Big O","10/13/1999 12:00:00 AM","3/1/2017 12:00:00 AM","","Dubbed"
"Bloom Into You","10/5/2018 12:00:00 AM","9/27/2018 9:00:00 PM","","Dubbed"
"Blue Gale Xabungle","2/6/1982 12:00:00 AM","8/9/2017 7:00:00 PM","","Exclusive"
"Blue Seed","10/5/1994 12:00:00 AM","7/22/2019 5:00:00 PM","","Dubbed"
"Bodacious Space Pirates","1/7/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"The Book of Bantorra","10/2/2009 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"BPS: Battle Programmer Shirase","10/3/2003 12:00:00 AM","8/9/2019 5:00:00 PM","",NA
"Brighter than the Dawning Blue","10/4/2006 12:00:00 AM","3/12/2018 11:00:00 PM","",NA
"BTOOOM!","10/4/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Busou Shinki","10/4/2012 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Canaan","7/4/2009 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Cardfight!! Vanguard overDress","4/2/2021 12:00:00 AM","3/26/2021 1:00:00 PM","","Dubbed"
"Chaika - The Coffin Princess","4/9/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Chaika - The Coffin Princess: Avenging Battle","10/8/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Chance Pop Session","5/21/2001 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Chidori RSC","10/13/2019 12:00:00 AM","10/4/2019 5:00:00 PM","","Dubbed"
"Chihayafuru","10/4/2011 12:00:00 AM","6/1/2017 6:00:00 AM","","Dubbed"
"Chihayafuru Season 2","1/11/2013 12:00:00 AM","3/1/2018 6:00:00 AM","","Dubbed"
"Chihayafuru Season 3","10/22/2019 12:00:00 AM","12/31/2019 11:00:00 PM","","Dubbed"
"Chivalry of a Failed Knight","10/3/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Cinderella Nine","4/7/2019 12:00:00 AM","3/24/2020 7:30:00 PM","",NA
"Clannad","10/4/2007 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Clannad: After Story","10/3/2008 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"ClassicaLoid","10/8/2016 12:00:00 AM","10/1/2016 12:00:00 AM","",NA
"ClassicaLoid 2","10/7/2017 12:00:00 AM","10/5/2017 10:00:00 PM","","Exclusive"
"Cobra the Animation","1/2/2010 12:00:00 AM","10/1/2016 5:00:00 AM","","Exclusive"
"Comet Lucifer","10/4/2015 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Croisée in a Foreign Labyrinth","7/4/2011 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Cutie Honey Universe","4/8/2018 12:00:00 AM","4/1/2018 5:00:00 AM","","Dubbed"
"D4DJ First Mix","10/23/2020 12:00:00 AM","10/5/2020 1:00:00 PM","","Dubbed"
"Dai Shogun","4/9/2014 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"DAMEPRI ANIME CARAVAN","1/10/2018 12:00:00 AM","1/4/2018 7:00:00 PM","","Exclusive"
"Darwin's Game","1/3/2020 12:00:00 AM","1/9/2020 12:00:00 AM","",NA
"The Demon Girl Next Door","7/11/2019 12:00:00 AM","7/4/2019 1:30:00 PM","","Dubbed"
"The Demon Girl Next Door Season 2","4/7/2022 12:00:00 AM","3/31/2022 1:00:00 PM","4/21/2022 5:28:00 PM","Tomorrow"
"Demon King Daimao","4/3/2010 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Destiny of the Shrine Maiden","10/1/2004 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Devil Survivor 2: The Animation","4/4/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"DEVILS' LINE","4/7/2018 12:00:00 AM","4/1/2018 5:00:00 AM","","Dubbed"
"DIABOLIK LOVERS II: MORE,BLOOD","10/4/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Dimension High School","1/10/2019 12:00:00 AM","1/8/2019 6:00:00 PM","",NA
"Dive!!","7/6/2017 12:00:00 AM","2/5/2021 3:00:00 PM","",NA
"Divergence Eve","7/2/2003 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Divergence Eve: Misaki Chronicles","1/7/2004 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Domestic Girlfriend","1/11/2019 12:00:00 AM","1/8/2019 6:00:00 PM","","Dubbed"
"DOREIKU The Animation","4/12/2018 12:00:00 AM","4/1/2018 5:00:00 AM","","Dubbed"
"Dream Eater Merry","1/7/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Dusk Maiden of Amnesia","4/8/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"DYNAMIC CHORD","10/7/2017 12:00:00 AM","10/5/2017 10:00:00 PM","","Exclusive"
"EARL & FAIRY","9/29/2008 12:00:00 AM","4/16/2021 1:00:00 PM","",NA
"Ebiten ~ Ebisugawa's Public High School Tenmonbu","7/14/2012 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"The Eden of Grisaia","4/20/2015 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Elfen Lied","7/25/2004 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Engaged to the Unidentified","1/8/2014 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"The Executioner and Her Way of Life","4/1/2022 12:00:00 AM","3/25/2022 1:00:00 PM","4/22/2022 4:30:00 PM","E4 In 2 Days"
"The Familiar of Zero F","1/7/2012 12:00:00 AM","4/8/2014 12:00:00 AM","",NA
"Fantasista Doll","7/7/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Fate/Grand Order Absolute Demonic Front: Babylonia","10/5/2019 12:00:00 AM","11/4/2019 5:00:00 PM","",NA
"Fate/Kaleid Liner Prisma Illya 2wei!","7/10/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Fate/Kaleid Liner Prisma Illya 2wei! Herz!","7/24/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Fate/Stay Night","1/6/2006 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"FLIP FLAPPERS","10/6/2016 12:00:00 AM","10/1/2016 12:00:00 AM","","Dubbed"
"Flowers of Evil","4/5/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Flying Witch","4/9/2016 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Food Wars!","4/4/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Food Wars! The Second Plate","7/2/2016 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Food Wars! The Third Plate","10/4/2017 12:00:00 AM","2/7/2020 12:00:00 PM","","Dubbed"
"Future Folktales","4/3/2020 12:00:00 AM","4/1/2020 6:00:00 PM","",NA
"Gakuen Basara: Samurai High School","10/5/2018 12:00:00 AM","10/2/2018 4:00:00 PM","","Exclusive"
"Gargoyle of Yoshinaga House","4/4/2006 12:00:00 AM","4/12/2021 1:00:00 PM","",NA
"GARO","10/7/2005 12:00:00 AM","6/16/2017 12:00:00 AM","","Exclusive"
"GARO - Makai Senki","10/6/2011 12:00:00 AM","8/10/2018 5:30:00 PM","","Exclusive"
"Gatchaman Crowds","7/12/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Gatchaman Crowds insight","6/20/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Gatchaman Fighter","10/7/1979 12:00:00 AM","8/24/2018 12:00:00 AM","",NA
"Gatchaman II","10/1/1978 12:00:00 AM","8/23/2018 5:00:00 AM","",NA
"GATE","7/3/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Get Backers","10/5/2002 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Getter Robo Arc","7/4/2021 12:00:00 AM","7/2/2021 1:00:00 PM","","Dubbed"
"The Girl in Twilight","10/1/2018 12:00:00 AM","9/28/2018 3:30:00 PM","","Exclusive"
"Girlish Number","10/7/2016 12:00:00 AM","10/1/2016 12:00:00 AM","",NA
"Girls Beyond the Wasteland","1/7/2016 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Girls' Last Tour","10/6/2017 12:00:00 AM","10/6/2017 2:00:00 PM","","Dubbed"
"Girls und Panzer","10/9/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Glass Mask","4/5/2005 12:00:00 AM","7/15/2019 4:00:00 PM","",NA
"Glass Mask 1984","4/9/1984 12:00:00 AM","5/1/2018 5:00:00 AM","",NA
"GODANNAR","10/1/2003 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Golden Time","10/3/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Golgo 13","4/11/2008 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"The Good Witch of the West","4/7/2006 12:00:00 AM","5/22/2017 5:00:00 AM","",NA
"Gourmet Girl Graffiti","1/9/2015 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Granblue Fantasy: The Animation Season 2","10/4/2019 12:00:00 AM","10/4/2019 2:00:00 PM","",NA
"Grimms Notes the Animation","1/11/2019 12:00:00 AM","1/26/2019 6:00:00 PM","",NA
